visualize,mode,N,app_fps,n_readings
1,naive,5000,671.1956,17
1,naive,10000,368.0244,17
1,naive,25000,109.0274,17
1,naive,50000,28.0582,17
1,naive,100000,7.82845,16
1,naive,200000,2.0064,12
1,scattered,5000,1220.0947,17
1,scattered,10000,1168.8049,17
1,scattered,25000,901.4447,17
1,scattered,50000,558.5206,17
1,scattered,100000,322.5294,17
1,scattered,200000,119.3799,17
1,coherent,5000,1329.1167,17
1,coherent,10000,1293.2521,17
1,coherent,25000,1201.8220,17
1,coherent,50000,974.3161,17
1,coherent,100000,713.6316,17
1,coherent,200000,410.4429,17
0,naive,5000,858.2210,17
0,naive,10000,422.4594,17
0,naive,25000,112.2680,17
0,naive,50000,28.5049,17
0,naive,100000,7.8119,17
0,naive,200000,2.0209,11
0,scattered,5000,2018.9882,17
0,scattered,10000,1964.9360,17
0,scattered,25000,1290.3200,17
0,scattered,50000,699.1311,17
0,scattered,100000,354.9129,17
0,scattered,200000,121.2049,17
0,coherent,5000,2318.9937,17
0,coherent,10000,2291.9681,17
0,coherent,25000,2006.4592,17
0,coherent,50000,1457.5831,17
0,coherent,100000,986.3044,17
0,coherent,200000,518.3159,17
