config,mode,N,blockSize,ms_per_step,sim_fps
base,naive,5000,128,1.5053,664.3
base,naive,10000,128,1.9103,523.5
base,naive,25000,128,7.5928,131.7
base,naive,50000,128,30.3391,33.0
base,naive,100000,128,110.4089,9.1
base,naive,200000,128,429.7052,2.3
base,scattered,5000,128,0.1427,7008.9
base,scattered,10000,128,0.1613,6200.8
base,scattered,25000,128,0.2209,4526.8
base,scattered,50000,128,0.5225,1913.8
base,scattered,100000,128,1.4335,697.6
base,scattered,200000,128,5.2554,190.3
base,scattered,500000,128,100.6643,9.9
base,scattered,1000000,128,645.7849,1.5
base,scattered,2000000,128,3270.1673,0.3
base,coherent,5000,128,0.1536,6512.0
base,coherent,10000,128,0.1453,6881.8
base,coherent,25000,128,0.1718,5820.8
base,coherent,50000,128,0.2815,3551.9
base,coherent,100000,128,0.5956,1679.1
base,coherent,200000,128,1.5829,631.8
base,coherent,500000,128,6.5833,151.9
base,coherent,1000000,128,23.1641,43.2
base,coherent,2000000,128,89.3437,11.2
