config,mode,N,blockSize,ms_per_step,sim_fps
bs32,naive,50000,32,35.2155,28.4
bs32,scattered,50000,32,0.5434,1840.3
bs32,coherent,50000,32,0.3068,3258.9
bs32,scattered,500000,32,78.0768,12.8
bs32,coherent,500000,32,7.2274,138.4
bs64,naive,50000,64,31.2311,32.0
bs64,scattered,50000,64,0.5286,1891.8
bs64,coherent,50000,64,0.2888,3463.1
bs64,scattered,500000,64,102.8170,9.7
bs64,coherent,500000,64,6.4988,153.9
bs128,naive,50000,128,31.1968,32.1
bs128,scattered,50000,128,0.5317,1880.7
bs128,coherent,50000,128,0.2853,3505.4
bs128,scattered,500000,128,101.1417,9.9
bs128,coherent,500000,128,6.3224,158.2
bs256,naive,50000,256,29.0665,34.4
bs256,scattered,50000,256,0.5269,1897.8
bs256,coherent,50000,256,0.2795,3577.6
bs256,scattered,500000,256,97.5025,10.3
bs256,coherent,500000,256,6.0947,164.1
bs512,naive,50000,512,31.2628,32.0
bs512,scattered,50000,512,0.5543,1804.1
bs512,coherent,50000,512,0.2773,3606.4
bs512,scattered,500000,512,94.0530,10.6
bs512,coherent,500000,512,5.9605,167.8
bs1024,naive,50000,1024,36.4699,27.4
bs1024,scattered,50000,1024,0.6374,1568.8
bs1024,coherent,50000,1024,0.3003,3329.6
bs1024,scattered,500000,1024,94.8473,10.5
bs1024,coherent,500000,1024,6.0986,164.0
