config,mode,N,blockSize,ms_per_step,sim_fps
cellwidth1x_27cells,naive,5000,128,1.2298,813.2
cellwidth1x_27cells,naive,10000,128,1.9340,517.1
cellwidth1x_27cells,naive,25000,128,7.7010,129.9
cellwidth1x_27cells,naive,50000,128,30.8287,32.4
cellwidth1x_27cells,naive,100000,128,112.3862,8.9
cellwidth1x_27cells,naive,200000,128,438.6545,2.3
cellwidth1x_27cells,scattered,5000,128,0.1535,6513.7
cellwidth1x_27cells,scattered,10000,128,0.1700,5882.3
cellwidth1x_27cells,scattered,25000,128,0.2080,4808.4
cellwidth1x_27cells,scattered,50000,128,0.4922,2031.7
cellwidth1x_27cells,scattered,100000,128,0.9641,1037.2
cellwidth1x_27cells,scattered,200000,128,4.0857,244.8
cellwidth1x_27cells,scattered,500000,128,57.6288,17.4
cellwidth1x_27cells,scattered,1000000,128,317.9118,3.1
cellwidth1x_27cells,scattered,2000000,128,1516.6333,0.7
cellwidth1x_27cells,coherent,5000,128,0.1604,6233.9
cellwidth1x_27cells,coherent,10000,128,0.1499,6671.6
cellwidth1x_27cells,coherent,25000,128,0.1633,6124.4
cellwidth1x_27cells,coherent,50000,128,0.3175,3149.6
cellwidth1x_27cells,coherent,100000,128,0.3690,2709.7
cellwidth1x_27cells,coherent,200000,128,0.7544,1325.5
cellwidth1x_27cells,coherent,500000,128,2.7211,367.5
cellwidth1x_27cells,coherent,1000000,128,7.7334,129.3
cellwidth1x_27cells,coherent,2000000,128,25.4228,39.3
